product_title,1,2
1734-TOP Allen Bradley,14.99,
1734-IA4 Allen Bradley,130.39,
1734-OW4 Allen Bradley,299,
1734-IB4 Allen Bradley,990.05,
1734-IB8S Allen Bradley,1499,
1734-IR2 Allen Bradley,974.31,
1734-TBS Allen Bradley,,
1734-IB8S Allen Bradley,,
25B-D2P3N104 Allen Bradley,,
25B-D2P3N104 Allen Bradley,,
1734-TOP Allen-Bradley,,
25B-D4P0N104 Allen Bradley,,
1734-OB8 Allen Bradley,,
1769-IQ16 Allen Bradley,,
1734-OB8E Allen Bradley,,
25B-D6P0N104 Allen Bradley,,
1734-TB3 Allen Bradley,,
1756-IF16 Allen Bradley,,
2080-OF2 Allen-Bradley,,
1769-IQ16 Allen Bradley ,,
1734-IE4C Allen Bradley ,,
1734-AENT Allen Bradley,,
1734-FPD Allen Bradley ,,
1769-OW16 Allen Bradley,,
2080-LC50-24QBB Allen Bradley,,
1734-IR2 Allen Bradley,,
1734-OW4 Allen Bradley,,
2080-LC20-20QWB Allen Bradley,,
1734-AENTR Allen Bradley ,,
1734-IT2I Allen Bradley ,,
1734-IB4 Allen Bradley,,
1734-IE8C Allen Bradley,,
25B-D4P0N114 Allen Bradley,,
1734-AENTR Allen Bradley,,
1734-IB8 Allen Bradley ,,
1794-TB3 Allen Bradley ,,
1783-US8T Allen Bradley,,
2711P-T10C21D8S Allen Bradley ,,
5069-IB16 Allen Bradley ,,
5069-OF8 Allen Bradley ,,
20F11NC8P7JA0NNNNN Allen Bradley,,
1756-IF8 Allen Bradley,,
25B-D2P3N114 Allen Bradley,,
1769-IF4 Allen Bradley,,
1734-OE4C Allen Bradley,,
1756-OF8 Allen Bradley,,
5069-RTB18-SCREW Allen Bradley,,
1769-OB16 Allen Bradley,,
25B-D010N114 Allen Bradley,,
1734-OE4C Allen Bradley,,
1794-TB3 Allen Bradley,,
Siemens 6ES7193-6BP00-0BA0,,
25B-D1P4N104 Allen Bradley,,
1769-OB16 Allen Bradley,,
1746-OW16 Allen Bradley,,
1794-OW8 Allen Bradley,,
1734-IE2V Allen Bradley,,
25B-D010N104 Allen Bradley,,
2711P-T12W22D9P Allen Bradley,,
1769-HSC Allen Bradley,,
1734-OB4 Allen Bradley,,
1734-OE2V Allen Bradley,,
1769-IF4I Allen Bradley,,
1734-OB8S Allen Bradley,,
25B-D1P4N114 Allen Bradley,,
1769-L33ER Allen Bradley,,
2080-LC50-48QBB Allen Bradley,,
1734-IE4C Allen Bradley,,
1746-NI8 Allen Bradley,,
5069-OB16 Allen Bradley,,
1734-OB8S Allen Bradley,,
1769-OF8C Allen Bradley,,
2711P-T12W21D8S Allen Bradley,,
1762-IF4 Allen Bradley,,
1769-OF4 Allen Bradley,,
1766-L32BXB Allen Bradley,,
2711R-T7T Allen Bradley,,
1766-L32AWAA Allen Bradley,,
1794-IB16 Allen Bradley,,
1769-IF8 Allen Bradley,,
1606-XLE120E Allen Bradley,,
20F11NC011JA0NNNNN Allen Bradley,,
Mitsubishi HF-KE43BKW1-S100,,
1794-OA16 Allen Bradley,,
1783-BMS10CL Allen Bradley,,
22A-D2P3N104 Allen Bradley,,
1734-IB8 Allen Bradley,,
1794-OF4I Allen Bradley,,
1769-IF8 Allen Bradley,,
2711P-T12W21D8S Allen Bradley,,
1734-OB8E Allen Bradley,,
1756-OB16I Allen Bradley,,
25B-D017N104 Allen Bradley,,
1769-OW16 Allen Bradley,,
1766-L32AWA Allen Bradley,,
2080-IQ4 Allen Bradley,,
1734-OE2V Allen Bradley,,
1766-L32BXBA Allen Bradley,,
1762-OW16 Allen Bradley,,
1769-ECR Allen Bradley,,
1769-L30ER Allen Bradley,,
25B-D017N114 Allen Bradley,,
22B-D4P0N104 Allen Bradley,,
1762-OB16 Allen Bradley,,
1769-PB4 Allen Bradley,,
22A-D2P3N104 Allen Bradley,,
1734-EPAC Allen Bradley,,
1766-L32BWAA Allen Bradley,,
20-COMM-E Allen Bradley,,
20-HIM-A6 Allen Bradley,,
25B-D4P0N114 Allen Bradley,,
5069-L330ERMS2 Allen Bradley,,
2711P-T15C22D9P Allen Bradley,,
2711P-T9W21D8S Allen Bradley,,
1766-L32BWA Allen Bradley,,
1783-US5T Allen Bradley,,
2711P-T12W22D9P Allen Bradley,,
1783-ETAP Allen Bradley,,
2080-LC50-24QWB Allen Bradley,,
22F-D2P5N103 Allen Bradley,,
1769-OF4CI Allen Bradley,,
1762-L40AWAR Allen Bradley,,
1783-NATR Allen Bradley,,
1762-IQ16 Allen Bradley,,
1756-OF8H Allen Bradley,,
1769-PA2 Allen Bradley,,
1734-OE2C Allen Bradley,,
5069-L306ER Allen Bradley,,
1734-TB Allen-Bradley,,
1762-IQ8 Allen Bradley,,
5069-OB16F Allen Bradley,,
25B-D6P0N114 Allen Bradley,,
1746-NO4I Allen Bradley,,
1756-OF8H Allen Bradley,,
1762-IQ32T Allen Bradley,,
2711P-T7C22D9P Allen Bradley,,
22A-D6P0N104 Allen Bradley,,
1794-ASB Allen Bradley,,
1756-EN2T Allen Bradley,,
Siemens 6ES7136-6DB00-0CA0,,
5069-OW16 Allen Bradley,,
25B-B5P0N104 Allen Bradley,,
1766-MM1 Allen Bradley,,
1746-NIO4V Allen Bradley,,
1734-IE2C Allen Bradley,,
1734-IT2I Allen Bradley,,
1794-TB3T Allen Bradley,,
1756-OW16I Allen Bradley,,
25C-D2P3N104 Allen Bradley,,
1763-L16BBB Allen Bradley,,
1792D-8BVT8D Allen Bradley,,
1769-OF8C Allen Bradley,,
CJ1M-CPU23 Omron,,
1734-IV8 Allen Bradley,,
1606-XLS480E-3 Allen Bradley,,
1768-ENBT Allen Bradley,,
1756-L83E Allen Bradley,,
1769-IF16C Allen Bradley,,
1794-IF8IH Allen Bradley,,
22F-D8P7N103 Allen Bradley,,
1734-IA4 Allen Bradley,,
25B-D010N104 Allen Bradley,,
20-COMM-D Allen Bradley,,
Siemens 6ES7134-6GD01-0BA1,,
150-C3NBD Allen Bradley,,
1762-OB8 Allen Bradley,,
22A-D8P7N104 Allen Bradley,,
2080-LC30-16QWB Allen Bradley,,
Omron CP1H-XA40DR-A,,
1769-L16ER-BB1B Allen Bradley,,
1756-OA16I Allen Bradley,,
1734-OB8 Allen Bradley,,
1734-EP24DC Allen Bradley,,
25B-A4P8N104 Allen Bradley,,
1746-OA16 Allen Bradley,,
2094-BC02-M02-S Allen Bradley,,
1794-ADN Allen Bradley,,
22A-B4P5N104 Allen Bradley,,
1794-IE8 Allen Bradley,,
2711P-T10C22D9P Allen Bradley,,
HMIGTO2310 Schneider,,
25BD4P0N104 Allen Bradley,,
Siemens 6GK5216-0BA00-2AC2,,
5069-IB16 Allen Bradley,,
1732E-IB16M12R Allen Bradley,,
2905743 Phoenix,,
Mitsubishi Q62DAN,,
22A-D4P0N104 Allen Bradley,,
2711P-T10C21D8S Allen Bradley,,
1734-EP24DC Allen Bradley,,
1794-IR8 Allen Bradley,,
1606-XLS240E Allen Bradley,,
1769-L32E Allen Bradley,,
1769-PA4 Allen Bradley,,
1771-IAD Allen Bradley,,
22F-D8P7N103 Allen Bradley,,
Mitsubishi HF-KE43KW1-S100,,
Siemens 6ES7131-6BH01-0BA0,,
6ES7136-6BA00-0CA0 Siemens,,
1732E-16CFGM12P5QCR Allen Bradley,,
1769-AENTR Allen Bradley ,,
1408-EM3A-ENT Allen Bradley,,
1794-TBNF Allen Bradley,,
Siemens 6ES7132-6BH01-0BA0,,
1769-IQ32 Allen Bradley,,
 25C-D1P4N104 Allen Bradley ,,
TLY-A120T-HK62AA Allen Bradley,,
1788-EN2FFR Allen Bradley,,
22A-D4P0N104 Allen Bradley,,
2711R-T4T Allen Bradley,,
1761-L32AWA Allen Bradley,,
25B-D6P0N104 Allen Bradley ,,
6EP1336-2BA10 Siemens,,
100-K05ZJ10 Allen Bradley ,,
1794-AENTR Allen Bradley,,
1769-L18ERM-BB1B Allen Bradley,,
6SE6440-2AD24-0BA1 Siemens,,
1769-ECR Allen Bradley ,,
 22A-D8P7N104 Allen Bradley ,,
25B-D017N104 Allen Bradley,,
1763-L16DWD Allen Bradley,,
6200T-NA Allen Bradley,,
1794-OE8H Allen Bradley,,
1771-OAD Allen Bradley,,
G9SP-N20S Omron,,
1762-IT4 Allen Bradley ,,
1783-ETAP Allen Bradley ,,
1763-L16BWA Allen Bradley,,
1734-IK Allen Bradley,,
1756-RIO Allen Bradley,,
6SL3040-0JA01-0AA0 Siemens,,
1785-ENET Allen Bradley,,
1794-OE4 Allen Bradley,,
 2711P-T7C4D8 Allen Bradley ,,
20f11nd8p0aaonnnnn Allen Bradley ,,
